№,Название аэропорта,Город,Форма собственности,Федеральный округ,passazhiropotok_2019_kol_vo_chelovek_v_mln,passazhiropotok_2020,passazhiropotok_2021,passazhiropotok_2022,passazhiropotok_2023,passazhiropotok_2024,vyruchka_2019_tys,vyruchka_2020_tys,vyruchka_2021,vyruchka_2022,vyruchka_2023,vyruchka_2024,op_pribyl_2019,op_pribyl_2020,op_pribyl_2021,op_pribyl_2022,op_pribyl_2023,op_pribyl_2024,Чистая прибыль 2019,Чистая прибыль 2020,Чистая прибыль 2021,Чистая прибыль 2022,Чистая прибыль 2023,Чистая прибыль 2024,subsidii_2021_v_tys,subsidii_2022,subsidii_2023,subsidii_2024,subsidii_2025
42,Кемерово,Кемерово,КОМПАНИЯ,Сибирский,"0,512","0,297","0,564","0,5","0,47","0, 508",483 304,316 330,504 720,774 988,814 475,1 060 046,179 362,32 325,-734,116 325,114 077,394 797,148 848,49 403,-53 274,-109 378,-134 846,-44 422,"900 986,35","362 429,86","1 311 984,75","8 090 897,32","9 285 508,84"
41,«АЭРОПОРТ БАЙКАЛ -УЛАН-УДЭ»,Улан-удэ,КОМПАНИЯ,Дальневосточный,"0,431","0,341","0,54","0,629","0,716","0,749",418 669,349 863,476 091,736 921,983 853,1 053 998,125 553,86 565,147 565,313 997,481 393,417 020,115 749,75 644,172 858,262 131,450 357,365 927,"8 480 875,40","2 909 757,38",0,"11 969 640,52","11 570 823,88"
13,Иркутск,Иркутск,ГОС,Сибирский,"2,463","1,344","2,077","2,63","3,8","3,95",2 904 732,1 774 670,2 450 693,2 807 581,3 751 032,4 262 354,869 411,19 858,569 192,689 706,963 756,1 097 269,788 253,253 954,821 490,853 909,1 051 180,1 565 711,"7 094 348,80",0,,,
60,Алыкель,Норильск,КОМПАНИЯ,Сибирский,"0,515","0,431","0,604",,,"0,883",2 415 664,2 268 667,2 871 194,3 696 796,5 069 414,5 664 480,-254 525,-225 371,-72 864,-289 569,-449 007,-832 482,-208 247,-162 183,-493 137,-144 491,-559 609,-754 008,"29 935 294,13",0,"8 293 710,93",0,0
61,Чебоксары,Чебоксары,КОМПАНИЯ,Приволжский,"0,395","0,283","0,46","0,451","0,508","0,577",154 439,107 445,174 150,199 712,235 706,281 516,37 643,15 319,41 387,63 710,78 830,73 596,27 429,14 084,49 536,40 476,51 397,40 449,"548 680,40",0,0,0,"1 746 675,00"
23,Стригино,Нижний Новгород,КОМПАНИЯ,Приволжский,"1,13","0,574","1,452","1,2","1,4","1,47",1 882 000,1 038 347,2 203 358,1 921 487,2 377 027,,740 924,49 433,1 035 789,708 578,,,536 534,-36 260,822 126,424 753,1 030 931,,"50 359 316,88","67 823 854,24","93 961 090,71",,
55,Чертовицкое,Воронеж,КОМПАНИЯ,Центральный,"0,854","0,444","0,807",0,0,0,645 406,365 068,688 669,190 378,39 158,37 466,98 540 ,-49 256,230 744,-279 858,-426 255,-707 884,32 422,-24 603,220 735,-4 672,-16 626,24 281,"5 932 063,64",0,0,0,0
8,Казань,Казань,ГОС,Приволжский,"3,4","2,171","3,876","4,02","5,2","5,3",2 751 000,1 843 532,3 264 794,3 690 240,5 448 739,6 569 168,883 427,182 676,1 065 279,1 342 241,2 519 501,3 086 975,602 064,351 340,1 003 745,1 285 148,2 261 818,3 035 065,"5 582 220,37",0,0,0,0
6,Толмачёво,Новосибирск,КОМПАНИЯ,Сибирский,"6,747","4,531","6,662","7,59","9,1","9,3",5 799 295,5 318 172,6 633 445,7 382 756,9 753 320,11 607 259,2 982 208,2 801 300,3 640 211,4 091 581,5 107 787,6 568 003,2 991 063,2 402 426,3 048 662,3 024 385,3 567 429,4 405 670,"5 530 769,27",0,"6 061 692,48",0,0
33,"""Богашёво""",Томск,ГОС,Сибирский,"0,759","0,34","0,486","0,54","0,6","0,653",792 418,471 986,607 070,644 797,784 975,862 128,335 282,97 442,113 136,187 585,280 440,196 583,314 795,99 931,126 204,222 648,284 598,90 796,"438 421,50","130 754,31",0,"1 013 301,24","2 276 343,50"
10,Храброво,Калининград,КОМПАНИЯ,Северо-Западный,"2,37","2,117","3,91","3,74","4,3","4,8",2 320 607,2 072 187,3 679 939,4 101 675,4 919 996,5 878 277,772 259,1 007 814,2 262 211,2 532 990,3 164 685,3 881 891,813 665,871 835,2 077 430,2 151 603,2 879 553,3 114 933,"4 923 863,70","7 618 185,81","7 242 111,12","9 229 999,93",0
44,Центральный ,Омск,ГОС,Сибирский,"1,348","0,933","1,492","1,586","1,7","1,73",1 209 015,805 463,1 157 226,1 272 601,1 427 989,1 543 008,109 183,-128 113,-27 693,44 908,3 809,-67 832,160 647,16 461,19 165,85 982,112 344,120 095,"4 654 860,67","5 406 989,69",0,"6 548 604,16",0
