airport,federal_district,ownership,state_owned,year,passengers,revenue,op_profit,subsidies,passengers_2019,recovery_ratio,revenue_per_passenger,op_profit_per_passenger,log_subsidies,subsidy_dummy
Кемерово,Сибирский,КОМПНИЯ,0,2019,0.512,483304,179362,0,0.512,1,943953.125,350316.40625,0,0
Кемерово,Сибирский,КОМПНИЯ,0,2020,0.297,316330,32325,0,0.512,0.580078125,1065084.175084175,108838.38383838384,0,0
Кемерово,Сибирский,КОМПНИЯ,0,2021,0.564,504720,-734,900986.35,0.512,1.1015624999999998,894893.6170212767,-1301.4184397163122,13.711246496536308,1
Кемерово,Сибирский,КОМПНИЯ,0,2022,0.5,774988,116325,362429.86,0.512,0.9765625,1549976,232650,12.800589004050908,1
Кемерово,Сибирский,КОМПНИЯ,0,2023,0.47,814475,114077,1311984.75,0.512,0.9179687499999999,1732925.5319148938,242717.02127659577,14.087052387146699,1
Кемерово,Сибирский,КОМПНИЯ,0,2024,0.508,1060046,394797,8090897.32,0.512,0.9921875,2086704.7244094487,777159.4488188976,15.906250323661203,1
«АЭРОПОРТ БАЙКАЛ -УЛАН-УДЭ»,Дальневосточный,КОМПНИЯ,0,2019,0.431,418669,125553,0,0.431,1,971389.7911832947,291306.26450116007,0,0
«АЭРОПОРТ БАЙКАЛ -УЛАН-УДЭ»,Дальневосточный,КОМПНИЯ,0,2020,0.341,349863,86565,0,0.431,0.7911832946635732,1025991.202346041,253856.30498533722,0,0
«АЭРОПОРТ БАЙКАЛ -УЛАН-УДЭ»,Дальневосточный,КОМПНИЯ,0,2021,0.54,476091,147565,8480875.4,0.431,1.2529002320185616,881650,273268.5185185185,15.953324351484543,1
«АЭРОПОРТ БАЙКАЛ -УЛАН-УДЭ»,Дальневосточный,КОМПНИЯ,0,2022,0.629,736921,313997,2909757.38,0.431,1.4593967517401392,1171575.5166931637,499200.31796502386,14.883580604772582,1
«АЭРОПОРТ БАЙКАЛ -УЛАН-УДЭ»,Дальневосточный,КОМПНИЯ,0,2023,0.716,983853,481393,0,0.431,1.6612529002320184,1374096.368715084,672336.5921787709,0,0
«АЭРОПОРТ БАЙКАЛ -УЛАН-УДЭ»,Дальневосточный,КОМПНИЯ,0,2024,0.749,1053998,417020,11969640.52,0.431,1.7378190255220418,1407206.9425901202,556769.0253671563,16.297884128881858,1
Иркутск,Сибирский,ГОС,1,2019,2.463,2904732,869411,0,2.463,1,1179347.137637028,352988.6317498985,0,0
Иркутск,Сибирский,ГОС,1,2020,1.344,1774670,19858,0,2.463,0.5456760048721072,1320438.988095238,14775.297619047618,0,0
Иркутск,Сибирский,ГОС,1,2021,2.077,2450693,569192,7094348.8,2.463,0.8432805521721477,1179919.5955705345,274045.2575830525,15.774809222375486,1
Иркутск,Сибирский,ГОС,1,2022,2.63,2807581,689706,0,2.463,1.0678034916768169,1067521.2927756654,262245.6273764259,0,0
Иркутск,Сибирский,ГОС,1,2023,3.8,3751032,963756,0,2.463,1.5428339423467314,987113.6842105264,253620,0,0
Иркутск,Сибирский,ГОС,1,2024,3.95,4262354,1097269,0,2.463,1.6037352821762079,1079076.9620253164,277789.62025316455,0,0
Алыкель,Сибирский,КОМПНИЯ,0,2019,0.515,2415664,-254525,0,0.515,1,4690609.708737864,-494223.3009708738,0,0
Алыкель,Сибирский,КОМПНИЯ,0,2020,0.431,2268667,-225371,0,0.515,0.8368932038834951,5263728.538283063,-522902.5522041763,0,0
Алыкель,Сибирский,КОМПНИЯ,0,2021,0.604,2871194,-72864,29935294.13,0.515,1.1728155339805824,4753632.450331126,-120635.76158940398,17.214548781320882,1
Алыкель,Сибирский,КОМПНИЯ,0,2022,NA,3696796,-289569,0,0.515,NA,NA,NA,0,0
Алыкель,Сибирский,КОМПНИЯ,0,2023,NA,5069414,-449007,8293710.93,0.515,NA,NA,NA,15.931008186848652,1
Алыкель,Сибирский,КОМПНИЯ,0,2024,0.883,5664480,-832482,0,0.515,1.7145631067961165,6415039.637599094,-942788.2219705549,0,0
Чебоксары,Приволжский,КОМПНИЯ,0,2019,0.395,154439,37643,0,0.395,1,390984.8101265823,95298.73417721518,0,0
Чебоксары,Приволжский,КОМПНИЯ,0,2020,0.283,107445,15319,0,0.395,0.7164556962025316,379664.31095406367,54130.74204946997,0,0
Чебоксары,Приволжский,КОМПНИЯ,0,2021,0.46,174150,41387,548680.4,0.395,1.1645569620253164,378586.95652173914,89971.73913043478,13.215273224167422,1
Чебоксары,Приволжский,КОМПНИЯ,0,2022,0.451,199712,63710,0,0.395,1.1417721518987343,442820.39911308204,141263.8580931264,0,0
Чебоксары,Приволжский,КОМПНИЯ,0,2023,0.508,235706,78830,0,0.395,1.2860759493670886,463988.18897637795,155177.1653543307,0,0
Чебоксары,Приволжский,КОМПНИЯ,0,2024,0.577,281516,73596,0,0.395,1.4607594936708859,487896.0138648181,127549.39341421144,0,0
Стригино,Приволжский,КОМПНИЯ,0,2019,1.13,1882000,740924,0,1.13,1,1665486.725663717,655684.9557522124,0,0
Стригино,Приволжский,КОМПНИЯ,0,2020,0.574,1038347,49433,0,1.13,0.5079646017699115,1808966.898954704,86120.20905923346,0,0
Стригино,Приволжский,КОМПНИЯ,0,2021,1.452,2203358,1035789,50359316.88,1.13,1.2849557522123896,1517464.1873278238,713353.305785124,17.7346942221718,1
Стригино,Приволжский,КОМПНИЯ,0,2022,1.2,1921487,708578,67823854.24,1.13,1.0619469026548674,1601239.1666666667,590481.6666666667,18.032424538224554,1
Стригино,Приволжский,КОМПНИЯ,0,2023,1.4,2377027,NA,93961090.71,1.13,1.238938053097345,1697876.4285714286,NA,18.358391336567863,1
Стригино,Приволжский,КОМПНИЯ,0,2024,1.47,NA,NA,0,1.13,1.3008849557522124,NA,NA,0,0
Чертовицкое,Центральный,КОМПНИЯ,0,2019,0.854,645406,98540,0,0.854,1,755744.730679157,115386.4168618267,0,0
Чертовицкое,Центральный,КОМПНИЯ,0,2020,0.444,365068,-49256,0,0.854,0.5199063231850117,822225.2252252252,-110936.93693693694,0,0
Чертовицкое,Центральный,КОМПНИЯ,0,2021,0.807,688669,230744,5932063.64,0.854,0.9449648711943794,853369.2688971498,285928.1288723668,15.595882879011338,1
Чертовицкое,Центральный,КОМПНИЯ,0,2022,0,190378,-279858,0,0.854,0,Inf,-Inf,0,0
Чертовицкое,Центральный,КОМПНИЯ,0,2023,0,39158,-426255,0,0.854,0,Inf,-Inf,0,0
Чертовицкое,Центральный,КОМПНИЯ,0,2024,0,37466,-707884,0,0.854,0,Inf,-Inf,0,0
Казань,Приволжский,ГОС,1,2019,3.4,2751000,883427,0,3.4,1,809117.6470588235,259831.4705882353,0,0
Казань,Приволжский,ГОС,1,2020,2.171,1843532,182676,0,3.4,0.6385294117647059,849162.5978811608,84143.7125748503,0,0
Казань,Приволжский,ГОС,1,2021,3.876,3264794,1065279,5582220.37,3.4,1.14,842310.1135190919,274839.78328173375,15.53509735012079,1
Казань,Приволжский,ГОС,1,2022,4.02,3690240,1342241,0,3.4,1.1823529411764704,917970.1492537315,333890.79601990053,0,0
Казань,Приволжский,ГОС,1,2023,5.2,5448739,2519501,0,3.4,1.5294117647058825,1047834.423076923,484519.42307692306,0,0
Казань,Приволжский,ГОС,1,2024,5.3,6569168,3086975,0,3.4,1.5588235294117647,1239465.6603773586,582448.1132075472,0,0
Толмачёво,Сибирский,КОМПНИЯ,0,2019,6.747,5799295,2982208,0,6.747,1,859536.83118423,442005.0392767156,0,0
Толмачёво,Сибирский,КОМПНИЯ,0,2020,4.531,5318172,2801300,0,6.747,0.6715577293611975,1173730.3023615098,618252.0414919445,0,0
Толмачёво,Сибирский,КОМПНИЯ,0,2021,6.662,6633445,3640211,5530769.27,6.747,0.9874018082110567,995713.7496247373,546414.1398979286,15.525837653129582,1
Толмачёво,Сибирский,КОМПНИЯ,0,2022,7.59,7382756,4091581,0,6.747,1.1249444197421077,972695.1251646904,539075.2305665349,0,0
Толмачёво,Сибирский,КОМПНИЯ,0,2023,9.1,9753320,5107787,6061692.48,6.747,1.348747591522158,1071793.4065934066,561295.2747252748,15.617499771151234,1
Толмачёво,Сибирский,КОМПНИЯ,0,2024,9.3,11607259,6568003,0,6.747,1.3783903957314363,1248092.3655913977,706236.8817204301,0,0
"""Богашёво""",Сибирский,ГОС,1,2019,0.759,792418,335282,0,0.759,1,1044028.9855072463,441741.76548089593,0,0
"""Богашёво""",Сибирский,ГОС,1,2020,0.34,471986,97442,0,0.759,0.44795783926218713,1388194.1176470588,286594.1176470588,0,0
"""Богашёво""",Сибирский,ГОС,1,2021,0.486,607070,113136,438421.5,0.759,0.6403162055335968,1249115.2263374487,232790.12345679014,12.990938336291665,1
